record_from,record_to,cos_distance
14,41,[[0.37447494]]
14,42,[[0.35720714]]
14,46,[[0.39786175]]
14,47,[[0.44385115]]
14,48,[[0.44035061]]
14,49,[[0.43371798]]
14,50,[[0.47603548]]
14,56,[[0.44378343]]
14,57,[[0.49994936]]
14,58,[[0.41962456]]
14,69,[[0.36798658]]
14,70,[[0.39948984]]
14,71,[[0.35501434]]
14,72,[[0.41774755]]
14,73,[[0.40158368]]
14,74,[[0.42290431]]
14,75,[[0.36848574]]
14,87,[[0.33053553]]
14,88,[[0.29455576]]
14,89,[[0.30925469]]
14,90,[[0.27548235]]
14,91,[[0.30964819]]
14,95,[[0.35278116]]
14,96,[[0.40452539]]
14,97,[[0.4276193]]
14,98,[[0.38196058]]
14,99,[[0.39162054]]
15,16,[[0.80668484]]
15,17,[[0.78761925]]
15,18,[[0.71759916]]
15,19,[[0.46696729]]
15,20,[[0.41242046]]
15,21,[[0.42900331]]
15,22,[[0.28554894]]
15,28,[[0.3250674]]
15,29,[[0.36510491]]
15,31,[[0.47030818]]
15,32,[[0.41294529]]
15,33,[[0.42166589]]
15,34,[[0.44688481]]
15,37,[[0.38153082]]
15,38,[[0.42148535]]
15,39,[[0.36924137]]
15,40,[[0.36650192]]
15,41,[[0.33835244]]
15,42,[[0.33860853]]
15,46,[[0.33947956]]
15,47,[[0.39276457]]
15,48,[[0.38831895]]
15,49,[[0.4094609]]
15,50,[[0.37563802]]
15,56,[[0.35896235]]
15,57,[[0.4009416]]
15,58,[[0.41522027]]
15,69,[[0.29697826]]
15,70,[[0.31098291]]
15,71,[[0.29652606]]
15,72,[[0.36039812]]
15,73,[[0.35375126]]
15,74,[[0.35484395]]
15,75,[[0.37296975]]
15,87,[[0.31682067]]
15,88,[[0.31744679]]
15,89,[[0.3962286]]
15,90,[[0.34639921]]
15,91,[[0.34336435]]
15,95,[[0.39140591]]
15,96,[[0.44444585]]
15,97,[[0.46562713]]
15,98,[[0.44818936]]
15,99,[[0.46181678]]
16,17,[[0.98224691]]
16,18,[[0.91931767]]
16,19,[[0.41476824]]
16,20,[[0.41079977]]
16,21,[[0.46441118]]
16,22,[[0.37355071]]
16,28,[[0.3503051]]
16,29,[[0.40311244]]
16,31,[[0.38304847]]
16,32,[[0.36035743]]
16,33,[[0.37765671]]
16,34,[[0.36927268]]
16,37,[[0.39763155]]
16,38,[[0.35763253]]
16,39,[[0.41001494]]
16,40,[[0.3844967]]
16,41,[[0.37566807]]
16,42,[[0.36399917]]
16,46,[[0.35987508]]
16,47,[[0.37965638]]
16,48,[[0.38684876]]
16,49,[[0.38339737]]
16,50,[[0.41543504]]
16,56,[[0.43978134]]
16,57,[[0.50177545]]
16,58,[[0.42343805]]
16,69,[[0.39942863]]
16,70,[[0.43019515]]
16,71,[[0.37495488]]
16,72,[[0.45278399]]
16,73,[[0.43410752]]
16,74,[[0.38744631]]
16,75,[[0.3285765]]
16,87,[[0.31526772]]
16,88,[[0.27174869]]
16,89,[[0.28327001]]
16,90,[[0.26697105]]
16,91,[[0.2967609]]
16,95,[[0.32816465]]
16,96,[[0.41986469]]
16,97,[[0.43632129]]
16,98,[[0.3859409]]
16,99,[[0.40811166]]
17,18,[[0.88396694]]
17,19,[[0.39704641]]
17,20,[[0.38780587]]
17,21,[[0.43813642]]
17,22,[[0.34611687]]
17,28,[[0.36553197]]
17,29,[[0.41242713]]
17,31,[[0.33138665]]
17,32,[[0.28781689]]
17,33,[[0.30458267]]
17,34,[[0.29970043]]
17,37,[[0.38383343]]
17,38,[[0.35637092]]
17,39,[[0.40052136]]
17,40,[[0.3530803]]
17,41,[[0.32903862]]
17,42,[[0.32918567]]
17,46,[[0.36433309]]
17,47,[[0.40909141]]
17,48,[[0.41167293]]
17,49,[[0.39803084]]
17,50,[[0.42834015]]
17,56,[[0.4257719]]
17,57,[[0.48273845]]
17,58,[[0.41574748]]
17,69,[[0.32651746]]
17,70,[[0.35887383]]
17,71,[[0.30389826]]
17,72,[[0.38193101]]
17,73,[[0.35429799]]
17,74,[[0.39455082]]
17,75,[[0.33961521]]
17,87,[[0.28281638]]
17,88,[[0.24477795]]
17,89,[[0.2691451]]
17,90,[[0.24302457]]
17,91,[[0.27565676]]
17,95,[[0.35584813]]
17,96,[[0.45340313]]
17,97,[[0.47334847]]
17,98,[[0.41999663]]
17,99,[[0.43690982]]
18,19,[[0.34365961]]
18,20,[[0.34652077]]
18,21,[[0.39335071]]
18,22,[[0.32876032]]
18,28,[[0.36243959]]
18,29,[[0.43022436]]
18,31,[[0.41865227]]
18,32,[[0.40528876]]
18,33,[[0.41967276]]
18,34,[[0.41692511]]
18,37,[[0.42454677]]
18,38,[[0.38040204]]
18,39,[[0.44240139]]
18,40,[[0.45999607]]
18,41,[[0.43440378]]
18,42,[[0.38445499]]
18,46,[[0.23332054]]
18,47,[[0.23200725]]
18,48,[[0.2574015]]
18,49,[[0.25574928]]
18,50,[[0.27732161]]
18,56,[[0.37088363]]
18,57,[[0.41316298]]
18,58,[[0.32572169]]
18,69,[[0.36712331]]
18,70,[[0.40772931]]
18,71,[[0.32057804]]
18,72,[[0.41993727]]
18,73,[[0.3939218]]
18,74,[[0.44707731]]
18,75,[[0.3695912]]
18,87,[[0.4006707]]
18,88,[[0.34883061]]
18,89,[[0.32882361]]
18,90,[[0.34802824]]
18,91,[[0.38012739]]
18,95,[[0.23109756]]
18,96,[[0.31152648]]
18,97,[[0.32722322]]
18,98,[[0.27155494]]
18,99,[[0.29019625]]
19,20,[[0.98036988]]
19,21,[[0.91272359]]
19,22,[[0.91126934]]
19,28,[[0.19682581]]
19,29,[[0.37714474]]
19,31,[[0.34176147]]
19,32,[[0.38589021]]
19,33,[[0.39640936]]
19,34,[[0.38733884]]
19,37,[[0.43513294]]
19,38,[[0.38809097]]
19,39,[[0.379945]]
19,40,[[0.33277828]]
19,41,[[0.28498481]]
19,42,[[0.35714612]]
19,46,[[0.3302709]]
19,47,[[0.33757199]]
19,48,[[0.3083519]]
19,49,[[0.28849718]]
19,50,[[0.28890638]]
19,56,[[0.42600878]]
19,57,[[0.43965096]]
19,58,[[0.39977781]]
19,69,[[0.35345328]]
19,70,[[0.35767346]]
19,71,[[0.42103444]]
19,72,[[0.33350999]]
19,73,[[0.40577901]]
19,74,[[0.33149836]]
19,75,[[0.46151932]]
19,87,[[0.34928835]]
19,88,[[0.29443146]]
